Date,Open,High,Low,Close,Adj Close,Volume
03-02-2022,46.419998,46.419998,46.419998,46.419998,46.419998,0
04-02-2022,46.380001,46.380001,46.380001,46.380001,46.380001,0
07-02-2022,46.439999,46.439999,46.439999,46.439999,46.439999,0
08-02-2022,46.869999,46.869999,46.869999,46.869999,46.869999,0
09-02-2022,47.650002,47.650002,47.650002,47.650002,47.650002,0
10-02-2022,46.900002,46.900002,46.900002,46.900002,46.900002,0
11-02-2022,46.299999,46.299999,46.299999,46.299999,46.299999,0
14-02-2022,45.91,45.91,45.91,45.91,45.91,0
15-02-2022,46.610001,46.610001,46.610001,46.610001,46.610001,0
16-02-2022,46.75,46.75,46.75,46.75,46.75,0
17-02-2022,45.939999,45.939999,45.939999,45.939999,45.939999,0
18-02-2022,45.740002,45.740002,45.740002,45.740002,45.740002,0
22-02-2022,45.299999,45.299999,45.299999,45.299999,45.299999,0
23-02-2022,44.599998,44.599998,44.599998,44.599998,44.599998,0
24-02-2022,44.990002,44.990002,44.990002,44.990002,44.990002,0
25-02-2022,46.220001,46.220001,46.220001,46.220001,46.220001,0
28-02-2022,45.98,45.98,45.98,45.98,45.98,0
01-03-2022,45.139999,45.139999,45.139999,45.139999,45.139999,0
02-03-2022,46.139999,46.139999,46.139999,46.139999,46.139999,0
03-03-2022,46.049999,46.049999,46.049999,46.049999,46.049999,0
04-03-2022,45.759998,45.759998,45.759998,45.759998,45.759998,0
07-03-2022,44.470001,44.470001,44.470001,44.470001,44.470001,0
08-03-2022,44.18,44.18,44.18,44.18,44.18,0
09-03-2022,45.099998,45.099998,45.099998,45.099998,45.099998,0
10-03-2022,45.029999,45.029999,45.029999,45.029999,45.029999,0
11-03-2022,44.540001,44.540001,44.540001,44.540001,44.540001,0
14-03-2022,44.380001,44.380001,44.380001,44.380001,44.380001,0
15-03-2022,45.07,45.07,45.07,45.07,45.07,0
16-03-2022,45.93,45.93,45.93,45.93,45.93,0
17-03-2022,46.5,46.5,46.5,46.5,46.5,0
18-03-2022,46.84,46.84,46.84,46.84,46.84,0
21-03-2022,46.700001,46.700001,46.700001,46.700001,46.700001,0
22-03-2022,47.080002,47.080002,47.080002,47.080002,47.080002,0
23-03-2022,46.419998,46.419998,46.419998,46.419998,46.419998,0
24-03-2022,46.970001,46.970001,46.970001,46.970001,46.970001,0
25-03-2022,47.290001,47.290001,47.290001,47.290001,47.290001,0
28-03-2022,47.41,47.41,47.41,47.41,47.41,0
29-03-2022,48.189999,48.189999,48.189999,48.189999,48.189999,0
30-03-2022,47.82,47.82,47.82,47.82,47.82,0
31-03-2022,47.16,47.16,47.16,47.16,47.16,0
